product_id,total_days,demand_days,zero_days,demand_frequency,avg_demand,cv,adi,total_quantity,total_revenue,transaction_count,pattern_type
328903483604537190,365,317,48,0.8684931506849315,34.803154536625755,0.6608574227494262,1.1455696202531647,11032.599988110363,425050.60693478584,9724,Erratic
5418855670645487653,365,350,15,0.958904109589041,894.8706349172762,0.6663670850776925,1.0401146131805157,313204.7222210467,5962340.142366588,47424,Erratic
1087005562675741887,365,304,61,0.8328767123287671,39.88103070065967,0.6751766151407027,1.1914191419141915,12123.83333300054,227016.6783195734,3014,Erratic
1401422983880045188,365,61,304,0.16712328767123288,1664.1475409836066,7.431333284248554,1.6833333333333333,101507.0,809636.292664051,1779,Lumpy
6614994347738381720,365,290,75,0.7945205479452054,43.44804596546395,0.5376484572498836,1.2491349480968859,12599.799996986985,354242.3062078953,10867,Erratic
3553055402616033444,365,46,319,0.12602739726027398,1155.826053865578,6.688714643263777,2.4444444444444446,53167.99847781658,269007.0370192528,673,Lumpy
576514643033029430,365,354,11,0.9698630136986301,766.2564030195044,0.6909868303832354,1.0311614730878187,271246.7666689046,5262057.687390029,33599,Erratic
2811937796518769916,365,87,278,0.23835616438356164,941.437160922193,8.525352065583455,1.2790697674418605,81905.03300023079,3649594.626361847,5181,Erratic
2126695985526201979,365,298,67,0.8164383561643835,14.833892617449665,0.7260433805249841,1.2154882154882154,4420.5,189916.97050762177,3761,Erratic
1364548354607636823,365,35,330,0.0958904109589041,622.4285711969648,5.790302061847711,3.0,21778.99999189377,181390.6503009796,382,Lumpy
7890016101383296727,365,296,69,0.810958904109589,81.52308558446128,0.5419752100518008,1.2338983050847459,24130.83333300054,235102.1012854576,11060,Erratic
9149212002603716850,365,360,5,0.9863013698630136,186.2138888888475,0.7000889451405251,1.0139275766016713,67036.9999999851,1752402.6085104942,36636,Erratic
6189453893821323891,365,318,47,0.8712328767123287,68.41902515718584,0.6054679965508467,1.138801261829653,21748.166666984558,457392.4464454651,12730,Erratic
6836551149114885197,365,77,288,0.21095890410958903,1016.636385473338,8.201016552091378,1.4473684210526316,78281.00168144703,1139873.5161972046,1807,Lumpy
3212701144500706568,365,90,275,0.2465753424657534,10207.855553325016,9.00537133227104,1.2584269662921348,918706.9997992516,8465843.93519783,4115,Erratic
3798478397326482162,365,68,297,0.1863013698630137,1095.4999999351362,7.731405161287603,1.6417910447761195,74469.99999558926,886086.9012041092,797,Lumpy
6504514533420270914,365,89,276,0.24383561643835616,3095.6288540336523,8.335551812845525,1.25,275510.96800899506,4229995.229960859,6326,Erratic
8428134947453125445,365,319,46,0.873972602739726,42.358934191140264,0.5955693024106158,1.1415094339622642,13512.500006973743,362960.16925501823,11091,Erratic
1938760505411922162,365,365,0,1.0,265.4095890410959,0.7380857280336783,1.0,96874.5,11353110.5,53844,Erratic
4451855961536069898,365,362,3,0.9917808219178083,249.60092063359298,0.7006186809047876,1.0083102493074791,90355.53326936066,2839078.7488718033,52100,Erratic
6509066495341489493,365,328,37,0.8986301369863013,75.97179880470219,0.7763494522952972,1.1009174311926606,24918.75000794232,496718.1060372591,15917,Erratic
7118126768094669047,365,272,93,0.7452054794520548,112.60551470581113,0.7680064864714908,1.3321033210332103,30612.69999998063,665902.1465740204,5859,Lumpy
4098058333001424920,365,365,0,1.0,556.2713470247102,0.690306218056819,1.0,203039.04166401923,4575516.473103285,68068,Erratic
4353552881410365573,365,354,11,0.9698630136986301,666.6309792880327,0.6583384011620947,1.028328611898017,235987.36666796356,4723513.383386314,46375,Erratic
4040509988492387426,365,361,4,0.989041095890411,2893.402931648402,0.7825739384902788,1.0083333333333333,1044518.4583250731,20987395.40491587,48657,Erratic
3262679882836704514,365,365,0,1.0,1278.3365296713703,0.6681185422653385,1.0,466592.8333300501,10522927.931145072,103295,Erratic
1075723522393863647,365,342,23,0.936986301369863,46.816033137428484,0.740803946768662,1.064516129032258,16011.08333300054,512439.60522305965,12182,Erratic
4648419153136508177,365,70,295,0.1917808219178082,108.66339293122292,7.487881641209861,1.5942028985507246,7606.437505185604,379919.26246762276,813,Lumpy
7852170368684115755,365,325,40,0.8904109589041096,772.4738461354145,0.6419806785346213,1.1141975308641976,251016.99999400973,5690480.4000685215,25174,Erratic
347520348779130794,365,293,72,0.8027397260273973,159.3892207064828,5.065603415698942,1.2397260273972603,45824.8750000149,1198027.07028234,18291,Erratic
